"","Sex","age_class","series_id"
"SRR5817149","sex: male","class2","GSE101144"
"SRR5817153","sex: male","class2","GSE101144"
"SRR5817154","sex: male","class2","GSE101144"
"SRR5817155","sex: male","class2","GSE101144"
"SRR5817158","sex: male","class2","GSE101144"
"SRR5817160","sex: male","class2","GSE101144"
"SRR5817161","sex: male","class2","GSE101144"
"SRR5817164","sex: male","class2","GSE101144"
"SRR5817165","sex: male","class2","GSE101144"
"SRR5817169","sex: male","class2","GSE101144"
"SRR5817171","sex: male","class2","GSE101144"
"SRR5817174","sex: male","class2","GSE101144"
"SRR5817176","sex: male","class2","GSE101144"
"SRR5817177","sex: male","class2","GSE101144"
"SRR2531553","sex: male","class2","GSE73503	GSE73508"
"SRR2531554","sex: male","class2","GSE73503	GSE73508"
"SRR2531552","sex: male","class2","GSE73503	GSE73508"
"SRR2531555","sex: male","class2","GSE73503	GSE73508"
"SRR6113701","sex: male","class2","GSE104381"
"SRR6113705","sex: male","class2","GSE104381"
"SRR6113709","sex: male","class2","GSE104381"
"SRR6113713","sex: male","class2","GSE104381"
"SRR6113717","sex: male","class2","GSE104381"
"SRR6113721","sex: male","class2","GSE104381"
"SRR6113725","sex: male","class2","GSE104381"
"SRR6113729","sex: male","class2","GSE104381"
"SRR6113733","sex: male","class2","GSE104381"
"SRR6113737","sex: male","class2","GSE104381"
"SRR6113749","sex: male","class2","GSE104381"
"SRR6113753","sex: male","class2","GSE104381"
"SRR6113757","sex: male","class2","GSE104381"
"SRR6113761","sex: male","class2","GSE104381"
"SRR6113765","sex: male","class2","GSE104381"
"SRR6113769","sex: male","class2","GSE104381"
"SRR13842823","sex: male","class2","GSE168137"
"SRR13842824","sex: male","class2","GSE168137"
"SRR13842826","sex: male","class2","GSE168137"
"SRR13842827","sex: male","class2","GSE168137"
"SRR2531537","sex: male","class2","GSE73503	GSE73508"
"SRR2531539","sex: male","class2","GSE73503	GSE73508"
"SRR2531536","sex: male","class2","GSE73503	GSE73508"
"SRR2531538","sex: male","class2","GSE73503	GSE73508"
