"","Sex","age_class"
"SRR7761109","Female","class1"
"SRR7761110","Female","class1"
"SRR12515180","Female","class1"
"SRR12515181","Female","class1"
"SRR12515182","Female","class1"
"SRR12515183","Female","class1"
"SRR12515184","Female","class1"
"SRR10025165","Female","class1"
"SRR10025166","Female","class1"
"SRR10025167","Female","class1"
"SRR1794770","Female","class1"
"SRR1794771","Female","class1"
"SRR1794772","Female","class1"
"SRR1794773","Female","class1"
"SRR7161848","Female","class1"
"SRR7161856","Female","class1"
"SRR7161864","Female","class1"
"SRR7161872","Female","class1"
"SRR7161880","Female","class1"
"SRR7161888","Female","class1"
"SRR7161896","Female","class1"
"SRR7161904","Female","class1"
"SRR7161912","Female","class1"
"SRR7161920","Female","class1"
"SRR7161928","Female","class1"
"SRR7161936","Female","class1"
