"","Sex","age_class","series_id"
"SRR10025184","Female","class4","GSE136417"
"SRR10025185","Female","class4","GSE136417"
"SRR17261763","Female","class4","GSE190985 GSE190986"
"SRR17261764","Female","class4","GSE190985 GSE190986"
"SRR17261651","Female","class4","GSE190985 GSE190986"
"SRR17261652","Female","class4","GSE190985 GSE190986"
"SRR17261653","Female","class4","GSE190985 GSE190986"
"SRR8145407","Female","class4","GSE122080"
"SRR8145408","Female","class4","GSE122080"
"SRR8145409","Female","class4","GSE122080"
"SRR8145410","Female","class4","GSE122080"
"SRR8145411","Female","class4","GSE122080"
"SRR8145412","Female","class4","GSE122080"
"SRR17261705","Female","class4","GSE190985 GSE190986"
"SRR5115673","Female","class4","GSE92486"
"SRR5115674","Female","class4","GSE92486"
"SRR5115675","Female","class4","GSE92486"
