"","SRR10025177","SRR10025178","SRR10025179","SRR9119213","SRR9119214","SRR9119215","SRR7050693","SRR7050694","SRR7050695","SRR15809339","SRR15809340","SRR13640879","SRR13640881","SRR13640883","SRR6292438","SRR6292439"
"ENSMUSG00000051951.6",7,7,7,0,1,0,0,3,0,0,0,0,1,0,0,0
"ENSMUSG00000025900.14",0,1,1,0,0,0,0,0,0,0,0,6,3,0,0,0
"ENSMUSG00000025902.14",280,312,236,48,24,22,133,148,150,138,145,49,44,45,21,10
"ENSMUSG00000033845.14",2594,2529,3763,1131,1672,1319,2441,2850,2924,568,486,1058,1585,1314,1195,785
"ENSMUSG00000025903.15",2130,2341,7423,1809,2243,2251,4484,4943,5753,1442,910,1184,1709,1849,257,465
"ENSMUSG00000104217.2",0,1,3,0,0,0,0,0,0,0,0,4,4,4,0,0
"ENSMUSG00000033813.16",1703,1915,5641,1022,940,1069,2060,2356,2914,538,672,953,1397,1241,208,201
"ENSMUSG00000002459.18",18,8,5,1,1,0,2,0,4,2,3,0,0,0,0,1
"ENSMUSG00000033793.13",2276,2111,4671,880,956,816,1770,1708,2793,607,808,1552,2593,2102,646,523
"ENSMUSG00000025905.15",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000033774.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025907.15",4061,4593,12044,756,614,697,1849,2248,2173,500,554,434,655,761,288,264
"ENSMUSG00000087247.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000033740.18",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000051285.18",5939,6816,16833,1932,2152,2283,5566,6657,6802,1580,2158,1170,1395,1788,338,547
"ENSMUSG00000025909.17",256,199,466,1,0,0,30,12,23,9,16,2,5,3,12,3
"ENSMUSG00000061024.9",1176,1171,1089,368,243,267,364,474,519,308,412,380,443,466,215,164
"ENSMUSG00000025911.15",3151,3723,4325,1608,2053,1609,5754,6058,5059,1037,1473,2002,2381,2456,556,921
"ENSMUSG00000067879.4",45,24,77,3,2,1,4,2,1,0,2,11,5,1,1,0
"ENSMUSG00000025912.17",119,95,899,2,7,4,19,32,35,18,37,2,13,24,15,3
"ENSMUSG00000045210.9",3115,3532,7851,662,462,716,1724,1896,2070,678,835,467,684,890,189,194
"ENSMUSG00000025915.15",1459,1225,3690,394,293,297,689,769,867,268,383,319,309,362,136,115
"ENSMUSG00000046101.17",69,47,161,20,19,25,6,5,8,11,17,2,6,6,0,0
"ENSMUSG00000099032.3",267,205,462,129,96,199,347,234,449,13,38,37,34,45,55,12
"ENSMUSG00000025916.11",19,15,26,3,8,4,11,13,28,2,4,3,0,3,2,1
"ENSMUSG00000025917.10",1439,1570,3258,1237,1355,1106,2239,2407,2418,453,530,1053,1340,1287,916,469
"ENSMUSG00000056763.17",3822,3962,8323,231,164,215,875,697,779,763,1366,309,292,306,133,107
"ENSMUSG00000067851.12",6180,6529,14986,1555,1283,1757,3150,3936,3605,553,612,1118,1577,1690,579,626
"ENSMUSG00000042501.13",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000048960.14",1959,1935,3508,120,59,83,563,650,701,77,93,46,51,113,225,117
"ENSMUSG00000057715.14",5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000016918.16",91,95,411,20,29,8,81,55,76,15,19,14,10,17,0,7
"ENSMUSG00000025938.17",13,12,63,1,0,0,0,2,0,2,2,0,0,1,0,0
"ENSMUSG00000042414.8",0,0,0,0,0,0,1,2,1,0,0,0,4,5,0,0
"ENSMUSG00000005886.15",5637,6240,8111,1025,666,1018,2649,2923,2234,596,1012,447,683,833,432,371
"ENSMUSG00000025935.11",5125,6371,9944,3069,2399,2743,4632,5567,5570,1116,1012,1946,2375,2173,569,585
"ENSMUSG00000025937.7",12706,14329,32015,4847,4240,4502,17509,17687,16519,2843,3582,3257,3693,3337,1311,1214
"ENSMUSG00000067813.4",595,659,1359,268,214,182,605,677,649,178,255,216,396,342,56,63
"ENSMUSG00000025932.15",10,6,41,0,0,0,1,2,0,0,0,0,1,2,0,0
"ENSMUSG00000025930.7",37,24,56,6,3,7,15,5,16,32,29,0,8,10,0,7
"ENSMUSG00000032769.6",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000092083.5",1,1,14,2,2,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025925.15",1300,1230,2867,253,253,216,428,533,619,214,256,151,194,262,87,81
"ENSMUSG00000032719.5",11,8,12,0,0,1,4,3,0,1,3,0,0,0,0,0
"ENSMUSG00000067795.14",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
"ENSMUSG00000043716.14",5044,6050,10263,8019,8131,6259,13721,12323,15025,3228,2089,7668,9378,9830,6760,5779
"ENSMUSG00000025921.8",1469,1531,1501,593,638,721,1230,1166,1596,384,283,494,568,596,281,228
"ENSMUSG00000025920.20",577,586,913,150,146,151,351,328,264,65,59,60,80,118,60,58
"ENSMUSG00000025939.20",751,770,2292,364,367,409,700,782,901,241,243,296,311,422,79,101
"ENSMUSG00000079658.10",738,802,1590,554,613,506,1253,1303,1485,507,471,442,664,656,267,248
"ENSMUSG00000025940.7",927,1053,1641,742,790,784,1527,1641,1710,306,255,632,921,828,447,283
"ENSMUSG00000025779.11",113,119,263,55,33,32,117,114,181,20,33,42,71,135,42,38
"ENSMUSG00000042686.6",241,279,173,22,13,6,105,68,65,47,64,18,22,15,6,13
"ENSMUSG00000025777.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000067780.4",17,29,93,4,2,2,9,4,13,6,0,0,1,3,0,0
"ENSMUSG00000025776.14",2,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025774.15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000073735.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000067773.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000042596.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025927.14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000043760.17",6129,5907,4627,125,114,146,455,521,405,280,222,77,241,175,58,67
"ENSMUSG00000025929.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000041872.10",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000041859.11",327,291,606,165,113,69,202,170,218,43,46,70,141,242,90,29
"ENSMUSG00000025931.16",36,38,65,16,11,7,16,22,31,4,0,12,3,7,3,3
"ENSMUSG00000041809.6",33,17,33,2,8,8,15,10,14,11,12,7,10,4,0,4
"ENSMUSG00000041779.6",1023,1251,1034,453,295,418,462,607,649,232,372,215,187,307,478,175
"ENSMUSG00000025933.16",108,69,125,62,97,90,238,171,206,50,37,79,62,62,16,11
"ENSMUSG00000025934.16",41357,37988,44873,22471,39080,31170,63236,55582,64210,8822,10427,28170,36002,37861,4889,6978
"ENSMUSG00000067750.4",1,0,4,0,0,0,2,0,1,2,0,0,0,0,0,0
"ENSMUSG00000041722.8",0,1,2,0,0,0,0,0,1,5,0,0,0,0,0,0
"ENSMUSG00000085079.4",2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000028033.17",51,49,224,8,7,3,10,13,3,1,0,0,8,2,0,1
"ENSMUSG00000041670.20",4,0,5,1,0,3,3,2,1,3,0,2,2,0,0,0
"ENSMUSG00000073730.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026158.12",707,751,1684,277,296,289,707,651,620,234,304,215,213,439,116,85
"ENSMUSG00000026156.9",128,125,226,8,4,1,29,13,28,14,71,8,9,22,6,3
"ENSMUSG00000026155.14",872,975,1041,173,132,170,496,469,473,71,91,98,166,188,138,94
"ENSMUSG00000026154.5",190,195,261,256,325,266,271,250,348,176,83,308,345,303,222,105
"ENSMUSG00000026153.16",2320,2299,5489,254,161,201,876,908,1012,882,1234,202,370,331,50,123
