"","SRR10025184","SRR10025185","SRR17261763","SRR17261764","SRR17261651","SRR17261652","SRR17261653","SRR8145407","SRR8145408","SRR8145409","SRR8145410","SRR8145411","SRR8145412","SRR17261705","SRR5115673","SRR5115674","SRR5115675"
"ENSMUSG00000051951.6",9,1,0,2,1,2,0,1,2,2,0,1,1,0,5,5,11
"ENSMUSG00000025900.14",1,0,1,0,0,2,0,0,0,0,2,2,0,0,0,0,0
"ENSMUSG00000025902.14",226,161,142,150,93,99,113,21,15,17,20,15,10,69,28,31,26
"ENSMUSG00000033845.14",4494,3605,2024,2305,2146,1737,1866,783,677,706,622,660,844,2284,1241,1364,1401
"ENSMUSG00000025903.15",6536,12739,3221,3046,3505,2886,2910,883,932,867,851,825,1068,2974,1460,1662,1591
"ENSMUSG00000104217.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3
"ENSMUSG00000033813.16",5382,8176,1772,2151,2633,2350,1931,589,562,476,596,465,622,2314,1367,1503,1397
"ENSMUSG00000002459.18",13,9,0,1,3,1,1,2,1,1,0,1,0,3,1,2,1
"ENSMUSG00000033793.13",3986,4933,1698,1683,2636,2269,1925,886,746,695,548,736,680,2367,2080,2010,2125
"ENSMUSG00000025905.15",1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
"ENSMUSG00000033774.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025907.15",8251,11301,843,914,1885,1947,1639,347,388,332,330,374,372,2177,2278,2517,2747
"ENSMUSG00000087247.4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000033740.18",1,12,0,0,22,0,0,1,0,0,0,1,0,0,0,0,0
"ENSMUSG00000051285.18",12544,16448,3131,3724,5522,6166,5411,1459,1446,1187,956,1487,1227,5481,5017,5163,5801
"ENSMUSG00000025909.17",524,453,18,30,20,30,21,6,4,4,9,8,9,38,160,180,181
"ENSMUSG00000061024.9",1186,985,630,1180,552,572,432,167,169,160,143,181,132,879,66,72,80
"ENSMUSG00000025911.15",3844,3229,2156,2511,3298,4250,3419,862,860,785,532,914,933,4984,954,1420,1377
"ENSMUSG00000067879.4",37,47,14,3,5,11,6,3,0,2,3,7,0,15,9,11,7
"ENSMUSG00000025912.17",97,134,46,39,20,44,35,19,9,9,15,19,4,47,16,32,31
"ENSMUSG00000045210.9",6735,8616,989,1210,1816,1842,1509,315,340,311,339,318,313,1840,940,1135,1064
"ENSMUSG00000025915.15",2247,2525,473,553,861,888,621,147,183,144,192,162,176,894,613,730,687
"ENSMUSG00000046101.17",108,111,8,9,1,8,6,2,1,2,0,3,1,7,15,31,25
"ENSMUSG00000099032.3",298,681,228,94,306,597,63,21,11,10,21,53,10,125,174,227,112
"ENSMUSG00000025916.11",5,20,30,13,19,28,4,0,3,3,0,9,2,4,27,19,12
"ENSMUSG00000025917.10",3027,3423,1901,1842,2277,2084,1873,573,574,572,561,631,655,2383,662,802,803
"ENSMUSG00000056763.17",5092,4721,817,1262,543,476,403,102,105,123,118,112,141,779,880,1156,858
"ENSMUSG00000067851.12",13336,17253,1840,2085,4091,3671,3490,654,771,600,601,626,702,4213,1806,2465,2433
"ENSMUSG00000042501.13",0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000048960.14",2907,2844,972,1745,856,916,760,481,447,546,414,442,582,416,887,802,917
"ENSMUSG00000057715.14",1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000016918.16",111,67,11,16,84,74,67,57,63,40,23,72,31,28,24,31,51
"ENSMUSG00000025938.17",12,4,2,0,1,5,0,0,2,0,2,0,2,3,1,2,1
"ENSMUSG00000042414.8",0,0,2,0,1,1,4,0,0,0,0,1,0,0,3,0,0
"ENSMUSG00000005886.15",7121,6168,1071,1414,2297,2022,2093,325,357,364,352,293,327,2054,703,1003,1049
"ENSMUSG00000025935.11",8393,10147,6594,5167,6752,6072,6173,1422,1612,1268,1637,1304,1427,5235,6591,7067,7833
"ENSMUSG00000025937.7",21820,30701,7784,5108,10548,8959,10146,2054,2192,1441,1813,1822,2303,9041,4726,4451,5785
"ENSMUSG00000067813.4",923,1418,643,621,653,524,625,172,193,158,120,166,143,560,369,525,436
"ENSMUSG00000025932.15",5,2,0,0,0,0,1,0,0,0,1,0,0,2,2,0,2
"ENSMUSG00000025930.7",39,15,18,19,17,19,16,7,4,4,4,5,9,23,8,13,5
"ENSMUSG00000032769.6",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000092083.5",0,1,0,0,0,0,0,2,3,1,1,1,0,0,3,1,0
"ENSMUSG00000025925.15",1678,2077,330,412,423,401,415,93,110,97,97,112,131,476,116,137,130
"ENSMUSG00000032719.5",15,5,5,0,0,0,1,0,0,0,1,0,0,1,4,2,7
"ENSMUSG00000067795.14",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000043716.14",12373,12049,12517,19060,13195,13279,12367,5047,4450,3979,4262,4141,5013,12318,13438,15246,14480
"ENSMUSG00000025921.8",2037,1992,1211,973,1428,1126,1156,363,377,285,329,254,345,1221,1257,1372,1401
"ENSMUSG00000025920.20",578,564,159,85,279,269,238,38,51,29,53,54,56,241,141,175,171
"ENSMUSG00000025939.20",1952,2693,679,708,877,940,794,250,233,215,177,224,259,793,407,392,385
"ENSMUSG00000079658.10",1531,1570,1565,1544,1286,1208,990,537,463,463,497,411,453,1106,571,540,561
"ENSMUSG00000025940.7",1925,2357,1124,946,1355,1238,1173,425,401,317,330,342,403,1343,1081,1204,1250
"ENSMUSG00000025779.11",229,250,156,109,106,81,105,37,47,52,34,32,31,112,30,50,39
"ENSMUSG00000042686.6",96,112,44,112,74,76,54,12,26,13,11,19,17,63,28,41,31
"ENSMUSG00000025777.9",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"ENSMUSG00000067780.4",30,18,4,0,6,10,11,3,0,1,1,0,3,4,5,10,6
"ENSMUSG00000025776.14",10,6,0,0,1,3,0,0,0,0,0,0,0,1,0,2,0
"ENSMUSG00000025774.15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000073735.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000067773.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000042596.8",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"ENSMUSG00000025927.14",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000043760.17",2777,1852,317,117,590,561,575,58,63,44,96,87,85,424,797,777,858
"ENSMUSG00000025929.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000041872.10",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000041859.11",282,265,223,125,360,284,478,43,78,62,134,45,50,350,116,156,168
"ENSMUSG00000025931.16",65,58,16,14,29,30,41,3,2,4,6,6,1,27,30,17,18
"ENSMUSG00000041809.6",27,16,13,14,6,11,13,5,5,0,2,5,3,10,3,8,14
"ENSMUSG00000041779.6",1095,849,419,566,560,444,483,72,105,101,78,84,96,700,88,146,145
"ENSMUSG00000025933.16",110,76,149,107,123,151,118,54,50,52,41,41,38,97,109,110,133
"ENSMUSG00000025934.16",68772,49115,39157,57241,59226,44558,45784,15072,15516,11857,11268,14602,18614,57772,44077,42265,41422
"ENSMUSG00000067750.4",2,5,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
"ENSMUSG00000041722.8",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000085079.4",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000028033.17",62,27,5,2,15,10,15,3,5,0,4,3,4,11,4,16,11
"ENSMUSG00000041670.20",3,2,4,0,4,3,6,1,1,2,3,4,1,7,2,3,4
"ENSMUSG00000073730.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026158.12",1167,1592,697,688,700,588,700,236,290,249,276,292,190,749,212,361,232
"ENSMUSG00000026156.9",205,138,40,56,18,17,31,3,1,4,2,7,3,32,48,50,41
"ENSMUSG00000026155.14",910,888,76,80,221,222,188,100,154,144,125,135,80,355,114,127,118
"ENSMUSG00000026154.5",282,337,804,697,504,450,400,200,191,156,182,158,191,501,375,433,521
"ENSMUSG00000026153.16",3174,3205,1110,1383,909,765,723,134,114,113,143,148,141,939,934,1179,964
"ENSMUSG00000026147.17",1,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0
"ENSMUSG00000026141.14",3,2,0,0,0,0,2,0,0,0,0,2,1,1,0,0,0
"ENSMUSG00000073725.9",5342,6886,1646,1721,3103,3248,2769,650,635,627,582,701,656,2920,1635,1825,1812
"ENSMUSG00000033569.18",0,1,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0
"ENSMUSG00000073722.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000048411.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000048874.16",8779,9505,1088,1755,2198,2125,1772,364,389,332,294,331,355,2435,1213,1314,1345
