"","SRR10573512","SRR10573637","SRR10573654","SRR10573669","SRR10573684","SRR10573700","SRR10573864","SRR10573881","SRR10573897","SRR10573912","SRR10573929","SRR10573945","SRR12748625","SRR12748627","SRR12748629","SRR1292215","SRR1292216","SRR1292217","SRR15402325","SRR15402326","SRR15402327","SRR17261649","SRR17261650","SRR17261703","SRR17261704","SRR17261765","SRR4473789","SRR4473790","SRR4473791"
"ENSMUSG00000051951.6",1,3,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,1,1,0,1
"ENSMUSG00000025900.14",0,5,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,30,48,58,0,0,0,0,0,0,0,0
"ENSMUSG00000025902.14",15,18,11,5,8,17,5,32,17,7,2,25,75,108,112,21,21,22,7,8,8,74,102,70,132,93,27,19,34
"ENSMUSG00000033845.14",2175,2474,2947,1296,1636,2112,2029,2038,1660,1062,1047,1527,2902,4104,3586,385,192,230,944,545,712,1425,1362,1598,1481,1864,1321,915,1257
"ENSMUSG00000025903.15",4520,3832,4558,2235,2799,3072,2796,4160,4065,3539,3127,5542,6912,5382,3882,926,282,439,1614,1217,1725,2595,2446,3826,2554,4190,2015,1872,2228
"ENSMUSG00000104217.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,0,0,1,0,0,0,0,0,0,0,0,1
"ENSMUSG00000033813.16",3679,3659,4431,2258,3134,4312,2106,3445,2657,2088,1966,3003,3419,3493,3037,375,181,251,768,819,764,2207,2246,3016,3511,1637,961,728,951
"ENSMUSG00000002459.18",0,1,2,0,0,0,0,1,1,2,1,0,1,3,1,1,0,2,4,3,3,0,5,2,1,1,0,0,0
"ENSMUSG00000033793.13",912,715,980,431,838,1061,527,1385,1118,504,667,1212,2643,3107,2450,369,204,274,1082,1097,919,1721,1815,2621,2787,1587,1015,922,1110
"ENSMUSG00000025905.15",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000033774.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025907.15",337,277,362,145,284,301,204,527,342,195,145,578,1948,2212,1504,293,158,205,468,324,419,1768,1685,2566,2226,838,597,513,625
"ENSMUSG00000087247.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000033740.18",0,2,0,2,0,0,0,0,3,1,0,0,1,0,0,0,0,0,1,5,1,0,0,0,67,0,0,0,0
"ENSMUSG00000051285.18",723,399,511,221,462,441,385,1519,1093,292,195,1259,6688,7689,5287,684,362,408,1857,1353,1798,4465,3973,6983,4193,3393,2093,1594,2127
"ENSMUSG00000025909.17",5,18,14,9,8,12,9,15,8,3,8,11,20,6,14,2,3,3,2,1,3,16,14,47,70,17,0,0,0
